state,2017 Population
US,324985539
AL,4874486
AK,739700
AZ,7044008
AR,3001345
CA,39358497
CO,5611885
CT,3573297
DE,956823
DC,694906
FL,20963613
GA,10410330
HI,1424393
ID,1717715
IL,12778828
IN,6658078
IA,3141550
KS,2908718
KY,4452268
LA,4670560
ME,1334612
MD,6023868
MA,6859789
MI,9973114
MN,5566230
MS,2988510
MO,6106670
MT,1052482
NE,1915947
NV,2969905
NH,1348787
NJ,8885525
NM,2091784
NY,19589572
NC,10268233
ND,754942
OH,11659650
OK,3931316
OR,4143625
PA,12787641
RI,1055673
SC,5021268
SD,872868
TN,6708799
TX,28295273
UT,3101042
VT,624344
VA,8463587
WA,7423362
WV,1817004
WI,5790186
WY,578931
